[DEBUG] 2023/02/13 14:28:20 mysql.go:40: Info: mysql连接成功
[DEBUG] 2023/02/13 14:41:12 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 14:41:12 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 14:46:19 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 14:46:19 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 15:31:09 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 15:31:09 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 15:31:18 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 15:31:20 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 15:36:05 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 15:36:07 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 15:36:08 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 15:36:10 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 15:38:37 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 15:38:37 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 15:38:47 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 15:40:18 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 15:40:19 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 15:40:20 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 15:40:23 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 15:43:04 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 15:43:05 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 15:43:07 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 15:43:08 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 16:02:46 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 16:02:46 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 16:03:31 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 16:03:31 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 16:19:25 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 16:19:25 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 16:19:53 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 16:20:16 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 16:20:16 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 16:20:34 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 16:21:05 redis.go:37: Info: redis连接成功
[DEBUG] 2023/02/13 16:21:05 redis.go:37: Info: redis连接成功
